/* swing.dat */

/***********************************************************************
*  Web Paint-by-Number Puzzle #529 from <www.webpbn.com>.
*  Copyright (C) 2006 by Jan Wolter. Used by permission.
*
*  Swing
*
*  created by Jan Wolter
*  Sep 28, 2006
*
*  Encoded in GNU MathProg by Andrew Makhorin <mao@gnu.org>.
***********************************************************************/

data;

param m := 45;

param n := 45;

param row : 1  2  3  4  5  6  7  8  9  10 11 12 13 14 :=
      1     7  1  1  1  1  1  .  .  .  .  .  .  .  .
      2     3  1  3  1  4  1  4  1  5  1  5  1  2  .
      3     1  1  1  3  1  4  1  4  1  5  1  5  1  2
      4     2  1  2  1  1  1  1  6  2  .  .  .  .  .
      5     3  30 1  5  .  .  .  .  .  .  .  .  .  .
      6     1  5  8  1  1  7  1  1  3  .  .  .  .  .
      7     3  4  8  1  5  1  2  .  .  .  .  .  .  .
      8     3  20 6  6  .  .  .  .  .  .  .  .  .  .
      9     3  3  7  2  5  1  .  .  .  .  .  .  .  .
      10    3  3  1  1  9  1  1  5  6  .  .  .  .  .
      11    2  3  8  1  3  4  2  .  .  .  .  .  .  .
      12    5  3  1  10 4  5  2  .  .  .  .  .  .  .
      13    1  2  3  8  4  6  .  .  .  .  .  .  .  .
      14    2  2  3  11 10 .  .  .  .  .  .  .  .  .
      15    2  2  3  10 7  .  .  .  .  .  .  .  .  .
      16    2  3  1  7  12 2  .  .  .  .  .  .  .  .
      17    2  3  1  4  11 2  .  .  .  .  .  .  .  .
      18    4  1  2  1  11 2  .  .  .  .  .  .  .  .
      19    9  1  2  9  .  .  .  .  .  .  .  .  .  .
      20    6  2  1  4  11 .  .  .  .  .  .  .  .  .
      21    2  5  1  2  6  6  .  .  .  .  .  .  .  .
      22    6  2  4  8  4  .  .  .  .  .  .  .  .  .
      23    4  2  16 1  .  .  .  .  .  .  .  .  .  .
      24    2  2  15 2  .  .  .  .  .  .  .  .  .  .
      25    3  2  15 4  .  .  .  .  .  .  .  .  .  .
      26    3  3  13 4  .  .  .  .  .  .  .  .  .  .
      27    4  12 9  .  .  .  .  .  .  .  .  .  .  .
